,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Individuals who have above basic software skills,0.6913122113367656,0.8131508992543452,0.7850072485867289,-0.6632272386404665,0.8631825010735666,-0.02505978657918373,0.7289222663289804,-0.5761067467851118,0.8631681800460151,0.16469446695874862,1.0,-0.8182389139830003,0.36349429572171904,0.9755890031036955,0.12763060964046236,0.5701799967927237,0.2036086833338286,0.22781648392933893,-0.29767466392354913,0.12511942553245414
Individuals who have low overall digital skills,-0.6631624431008003,-0.5327181659553331,-0.4979771424119726,0.6806218870439271,-0.7065213475051925,0.05094308385964128,-0.5026811443491425,0.5819956438201089,-0.724043875835716,-0.47550940624713955,-0.8182389139830002,1.0,-0.60916816532213,-0.812598618895764,-0.2161957101331304,-0.4207748361765642,-0.3048947940940202,-0.2347800798934416,0.30462955039148676,-0.1739154126264917
Individuals who have basic overall digital skills,0.5633433548746225,0.355933694793195,0.43177028504726517,-0.3048701810914226,0.511343281423761,0.28657473068727013,0.29304774251076593,-0.3352669257184669,0.5552042833712071,0.9165651741852014,0.3634942957217191,-0.60916816532213,1.0,0.3621520837118506,0.274252135589402,0.1974324227465038,0.11388387995912397,0.03597563639330831,-0.25835634409293545,0.19925550899283365
Individuals who have above basic overall digital skills,0.6712630643954801,0.8153805065293084,0.7666618406856773,-0.6698529119634702,0.8915078176214198,-0.143321293847425,0.8200873537869218,-0.5198105612296713,0.8670855611877359,0.23292114161975752,0.9755890031036953,-0.8125986188957641,0.3621520837118506,0.9999999999999999,0.12663543811091157,0.6377396297511388,0.2589286894943155,0.21228961202149593,-0.30534494907981874,0.15603866703761665
National expenditure on environmental protection,0.47472571918924006,0.06976199042306432,0.09758503041564943,-0.17842395832246025,0.15491717591898313,0.12010921561787569,0.05558744188500748,-0.3033915899115099,0.2053960007385158,0.20912354733958574,0.12763060964046238,-0.21619571013313038,0.2742521355894019,0.12663543811091157,1.0,0.00868031413226257,-0.06165779933603568,0.26520624972341617,-0.20546579464907436,0.3285757086632477
Early childhood to tertiary education,0.5443280822400896,0.6597587556780766,0.5596546948150221,-0.4357585151671648,0.6495071918853829,-0.2352269387401442,0.6412942127927952,-0.20268890436941,0.5730209828096978,0.20451894425095368,0.5701799967927237,-0.4207748361765642,0.1974324227465038,0.6377396297511388,0.008680314132262569,1.0,0.5354606004145104,0.269473739240702,-0.1243663604709331,0.13775795357910217
Bachelor's or equivalent level,0.19836535028707786,0.15134917610803122,0.034620855970273146,-0.4189210821259206,0.28587705095448984,-0.445604119510727,0.29614372866462507,-0.07427549251685113,0.11648869964504995,0.19431943149070285,0.2036086833338286,-0.3048947940940202,0.11388387995912397,0.25892868949431547,-0.06165779933603567,0.5354606004145104,1.0,-0.0048937162526470025,0.388440326399389,-0.08559757275653693
Master's or equivalent level,0.25279102528160846,0.25577430628759207,0.28263053837245405,-0.36330048777952423,0.2973051680622882,-0.0020968302664485772,0.06014838437822755,-0.45003209242531833,0.320290822551894,-0.00690895446438196,0.22781648392933893,-0.23478007989344163,0.03597563639330831,0.21228961202149596,0.26520624972341617,0.269473739240702,-0.004893716252647002,1.0,-0.42785076706830505,-0.09495362286819102
Total unemployment rate,-0.29834416752719234,-0.37829003353526214,-0.46091750748038357,0.22006335689121237,-0.3909998477227212,-0.07943361262752097,-0.2490464949118476,0.33838743862840537,-0.49591336744958503,-0.21696926441848466,-0.2976746639235492,0.30462955039148676,-0.25835634409293545,-0.30534494907981874,-0.20546579464907436,-0.1243663604709331,0.388440326399389,-0.42785076706830505,1.0,-0.24311901589676604
Death due to suicide,0.2467091513169521,0.20578752387257673,0.08451208354368157,-0.1664612667508246,0.22016248057319365,0.026859132696580874,0.12192693485428878,-0.09224943080841712,0.21449244539694992,0.22095272366748755,0.12511942553245417,-0.17391541262649168,0.19925550899283365,0.15603866703761668,0.3285757086632477,0.1377579535791022,-0.08559757275653694,-0.09495362286819102,-0.24311901589676604,1.0
